id,main,title,party,substance_use,sex,romance,braggadocio,street_culture,humor,social_consciousness,introspection,rationale
6414f837-e555-51df-8d53-0415b8606a8c,Ying Yang Twins,Salt Shaker,1,0,1,0,0,0,0,0,0,"""instructs the audience to shake their bodies, particularly focusing on their butts"""
6aec1f52-d587-5c38-91a1-4bc74a96ac34,Will Smith,Wild Wild West,0,0,0,0,0,1,0,0,0,"""frames his experience on the streets as though he was a cowboy"""
63c69447-954c-5579-b00f-e384e6de831a,Whodini,Friends,0,0,0,0,0,0,0,1,1,"""reflects on what it means to have friends"""
ba439948-bbac-50aa-805d-1a1d2b3422c6,Wayne & Charlie (The Rapping Dummy),Check It Out,0,0,0,0,0,0,1,0,0,"""makes jokes about things that make people happy"""
1db904ed-38ee-5caf-a896-57e690f5152a,Vanilla Ice,Ice Ice Baby,1,0,0,0,0,0,0,0,0,"""encourages audience to dance"""
2fbada8b-233d-5663-8384-f7bb305bb99a,"Tyler, The Creator",Dogtooth,0,0,1,0,0,0,1,0,0,"""expresses desire to have sex with a woman for little in return"""
3f097ddd-62ed-59e2-8a17-b35812ed987e,The Transitions,Ghetto Laws,0,0,0,0,1,1,0,0,0,"""the rappers describe themselves as pimps or mafia dons and threaten those who don't follow the ghetto laws"""
400a10ac-de82-5278-8aa2-37f5af8b9204,The Notorious B.I.G.,Hypnotize,0,0,0,0,1,1,0,0,0,"""the rappers describe themselves as pimps or mafia dons and threaten those who don't follow the ghetto laws"""
56c507d6-f292-5644-ac3b-d5995f662611,The Jazzy Three,The Rappin Spree,1,0,0,0,0,0,0,0,0,"""expresses his goal to make the audience dance and enjoy themselves"""
ff6c1512-fb92-5595-940c-cc9f63a729d4,The 2 Live Crew,The Funk Shop,0,0,1,0,0,0,0,0,0,"""describes how he will treat a woman during a sexual encounter"""
2a782a98-dd50-52b8-9e66-1ad4049854a2,Tee Grizzley,First Day Out,0,0,0,0,0,1,0,0,1,"""expresses joy for being free from jail"""
25f228f0-7948-5e05-ad65-6b11210ae062,Special Ed,I'm The Magnificent,0,0,0,0,1,0,0,0,0,"""brags about being a witty and monetarily successful rapper"""
ac1c56b6-029f-53e2-adc4-7e92be7b592e,Spanish Fly & The Terrible Two,Spanglish,1,0,0,0,1,0,0,0,0,"""boasts about rapping ability"""
5ef28aa3-96e5-5059-b271-1c7d4fa00159,Silento,Watch Me,1,0,0,0,0,0,0,0,0,"""tells the listeners to do certain dance moves"""
a4d04ffb-21cc-56cd-aaf4-6fb147da6881,Shaggy,It Wasn't Me,0,0,1,0,0,0,1,0,0,"""recounts a time when he was cheating on his girlfriend and humorously denies the interaction"""
42447ad3-d658-57f4-975e-b73cd661070b,Salt-N-Pepa,Let's Talk About Sex,0,0,1,0,0,0,0,1,0,"""tries to de-stigmatize proper sex education"""
f651a8d6-02e9-5825-8779-e7610de00296,Run-D.M.C.,Pause,0,0,0,0,0,0,0,1,0,"""tells listeners to stay away from drugs"""
d759771b-8778-56cc-9cba-e4c510a3069e,Rod Wave,Break My Heart,0,0,0,0,0,0,0,0,1,"""describes his experience with being betrayed by friends, family and lovers"""
963fb7a3-39a6-58db-9537-f3b15f8f4d8e,Rob Base & DJ E-Z Rock,It Takes Two,1,0,0,0,0,0,0,0,0,"""encourages his listeners to dance"""
076ad782-e2f4-5fa0-8d25-c9645e518aee,Rick Ross,The Devil Is A Lie,0,0,0,0,1,0,0,0,0,"""brags about success, measured through money, cars, and weapons"""
b09401fc-8c6b-5997-867a-6f2e7d0d4b4a,Rich Gang,Tapout,0,0,1,0,1,0,0,0,0,"""contains explicit descriptions of sexual encounters and having sex until exhaustion"""
b253f9ad-00a6-592f-8359-b8a661b1516c,Rappermatical 5,Party People,1,0,0,0,0,0,0,0,0,"""the rappers introduce themselves one by one and encourage the listeners to dance"""
4aeaea58-a24e-51cc-90ea-6299bc89b1c4,Queen Latifah,U.N.I.T.Y.,0,0,0,0,0,0,0,1,0,"""brings awareness to misogyny and asks women to unite with one another"""
259dee4e-3ec6-5c74-a727-b70de818e23b,Pusha T,Dreamin Of The Past,0,0,0,0,0,0,0,0,1,"""reflections on his past struggles"""
4d68e112-841d-5525-990a-b6a65f30f9c7,Puff Daddy,Best Friend,0,0,0,0,0,0,0,0,1,"""praises God for His guidance and reflects on the people he has lost along the way"""
f8d7115b-a3e3-517b-938e-e729085a80e4,Post Malone,Deja Vu,0,0,1,1,0,0,0,0,0,"""compares the serendipity of meeting their partner to d�j� vu"""
1e75e6c9-ced6-5831-b993-289bfac0d677,Pitbull,Culo,1,0,1,0,0,0,0,0,0,"""talks about a woman who has a bodacious butt"""
11e4774f-b0c7-5512-a765-9737a3237fcb,O.G.C.,Bounce To The Ounce,0,1,0,0,0,1,0,0,0,"""mentions smoking, recounts a story of a sexual encounter with a woman, describes their car (""black range four"")"""
3cd4d0e1-e73b-5292-bfaf-52d87631775a,Nicki Minaj,Beez In The Trap,0,0,0,0,1,1,0,0,0,"""puts down other people for not being as active in the 'trap'"" as she is"
8096625c-8b45-5382-9958-4bf6e431edb6,New Boyz,Break My Bank,0,0,0,1,0,0,1,0,0,"""expresses desire to spend on their money on a romantic partner"""
c5c7e793-4c15-586e-a4a2-396c6e45eb45,N.W.A,Express Yourself,0,0,0,0,0,0,0,1,1,"""reflects on his group being shunned from the radio for describing life in the hood"""
f4ec7873-d03b-508f-a983-7a32d56409f9,Migos,Straightenin,0,1,0,0,0,1,0,0,0,"""talks about gaining money from trapping (selling drugs)"""
fc62b8dc-a737-5d64-b833-b34c0ae751c0,Migos,Having Our Way,0,0,0,0,1,1,0,0,0,"""brags about spending a lot of money and access to guns"""
